data,ativo,preco_ajustado,volume
2011-01-03,BOVA11.SA,69.23999786376953,175500
2011-01-04,BOVA11.SA,69.69999694824219,473790
2011-01-05,BOVA11.SA,70.25,306410
2011-01-06,BOVA11.SA,69.6500015258789,284110
2011-01-07,BOVA11.SA,69.33000183105469,217220
2011-01-10,BOVA11.SA,69.30999755859375,299930
2011-01-11,BOVA11.SA,69.69999694824219,312470
2011-01-12,BOVA11.SA,71,919280
2011-01-13,BOVA11.SA,69.98999786376953,380900
2011-01-14,BOVA11.SA,70.25,230750
2011-01-17,BOVA11.SA,70.04000091552734,520120
2011-01-18,BOVA11.SA,70.20999908447266,114530
2011-01-19,BOVA11.SA,69.30000305175781,198490
2011-01-20,BOVA11.SA,68.75,340560
2011-01-21,BOVA11.SA,68.3499984741211,328400
2011-01-24,BOVA11.SA,68.73999786376953,144700
2011-01-26,BOVA11.SA,67.94999694824219,1275450
2011-01-27,BOVA11.SA,67.30000305175781,525090
2011-01-28,BOVA11.SA,65.94000244140625,663300
2011-01-31,BOVA11.SA,65.779998779296875,572560
2011-02-01,BOVA11.SA,67.23999786376953,430560
2011-02-02,BOVA11.SA,65.970001220703125,380570
2011-02-03,BOVA11.SA,66.05000305175781,260360
2011-02-04,BOVA11.SA,64.529998779296875,526550
2011-02-07,BOVA11.SA,64.68000030517578,364640
2011-02-08,BOVA11.SA,64.8499984741211,321030
2011-02-09,BOVA11.SA,63.34000015258789,561680
2011-02-10,BOVA11.SA,63.849998474121094,574520
2011-02-11,BOVA11.SA,64.910003662109375,492400
2011-02-14,BOVA11.SA,65.83000183105469,293830
2011-02-15,BOVA11.SA,65.56999969482422,384050
2011-02-16,BOVA11.SA,66.55000305175781,1041290
2011-02-17,BOVA11.SA,66.87999725341797,455820
2011-02-18,BOVA11.SA,67.5,1482160
2011-02-21,BOVA11.SA,66.55000305175781,391390
2011-02-22,BOVA11.SA,65.66999816894531,663500
2011-02-23,BOVA11.SA,66.19999694824219,497380
2011-02-24,BOVA11.SA,66.339996337890625,1368460
2011-02-25,BOVA11.SA,66.16999816894531,320800
2011-02-28,BOVA11.SA,66.75,1016400
2011-03-01,BOVA11.SA,65.75,524310
2011-03-02,BOVA11.SA,66.529998779296875,300600
2011-03-03,BOVA11.SA,67.44999694824219,231910
2011-03-04,BOVA11.SA,67.470001220703125,461800
2011-03-09,BOVA11.SA,66.51000213623047,65070
2011-03-10,BOVA11.SA,65.25,471140
2011-03-11,BOVA11.SA,65.93000030517578,302900
2011-03-14,BOVA11.SA,66.4000015258789,712730
2011-03-15,BOVA11.SA,66.25,1285000
2011-03-16,BOVA11.SA,65.0999984741211,1674780
2011-03-17,BOVA11.SA,65.29000091552734,328220
2011-03-18,BOVA11.SA,66.16999816894531,464340
2011-03-21,BOVA11.SA,65.87999725341797,845430
2011-03-22,BOVA11.SA,66.66999816894531,791750
2011-03-23,BOVA11.SA,66.94999694824219,292970
2011-03-24,BOVA11.SA,66.75,303050
2011-03-25,BOVA11.SA,66.910003662109375,387350
2011-03-28,BOVA11.SA,66.38999938964844,300080
2011-03-29,BOVA11.SA,66.5999984741211,370150
2011-03-30,BOVA11.SA,67.20999908447266,124820
2011-03-31,BOVA11.SA,67.55000305175781,429240
2011-04-01,BOVA11.SA,68.48999786376953,867180
2011-04-04,BOVA11.SA,68.910003662109375,710580
2011-04-05,BOVA11.SA,68.91999816894531,405160
2011-04-06,BOVA11.SA,68.20999908447266,284330
2011-04-07,BOVA11.SA,68.23999786376953,1499000
2011-04-08,BOVA11.SA,67.93000030517578,229210
2011-04-11,BOVA11.SA,67.29000091552734,257740
2011-04-12,BOVA11.SA,66.0999984741211,436740
2011-04-13,BOVA11.SA,65.75,643640
2011-04-14,BOVA11.SA,65.5,399400
2011-04-15,BOVA11.SA,65.87000274658203,444650
2011-04-18,BOVA11.SA,64.75,805290
2011-04-19,BOVA11.SA,65.23999786376953,1302380
2011-04-20,BOVA11.SA,66.25,282390
2011-04-25,BOVA11.SA,66.11000061035156,163580
2011-04-26,BOVA11.SA,66.160003662109375,1701540
2011-04-27,BOVA11.SA,65.4000015258789,319130
2011-04-28,BOVA11.SA,64.87000274658203,406190
2011-04-29,BOVA11.SA,65.19999694824219,1055600
2011-05-02,BOVA11.SA,64.79000091552734,407810
2011-05-03,BOVA11.SA,63.4900016784668,488180
2011-05-04,BOVA11.SA,62.900001525878906,646930
2011-05-05,BOVA11.SA,62.68000030517578,567100
2011-05-06,BOVA11.SA,63.68000030517578,273640
2011-05-09,BOVA11.SA,63.79999923706055,277250
2011-05-10,BOVA11.SA,64.01000213623047,335800
2011-05-11,BOVA11.SA,62.95000076293945,227880
2011-05-12,BOVA11.SA,63.279998779296875,1012840
2011-05-13,BOVA11.SA,62.400001525878906,391300
2011-05-16,BOVA11.SA,61.9900016784668,545030
2011-05-17,BOVA11.SA,62.810001373291016,461310
2011-05-18,BOVA11.SA,62.11000061035156,353860
2011-05-19,BOVA11.SA,61.470001220703125,308140
2011-05-20,BOVA11.SA,61.7400016784668,371220
2011-05-23,BOVA11.SA,61.619998931884766,127150
2011-05-24,BOVA11.SA,62.599998474121094,314090
2011-05-25,BOVA11.SA,62.599998474121094,225420
2011-05-26,BOVA11.SA,63.5,273080
2011-05-27,BOVA11.SA,63.5,235970
2011-05-30,BOVA11.SA,63.11000061035156,93040
2011-05-31,BOVA11.SA,63.810001373291016,333020
2011-06-01,BOVA11.SA,62.650001525878906,526490
2011-06-02,BOVA11.SA,63.38999938964844,366350
2011-06-03,BOVA11.SA,63.5,405190
2011-06-06,BOVA11.SA,62.189998626708984,303140
2011-06-07,BOVA11.SA,62.40999984741211,243590
2011-06-08,BOVA11.SA,62.29999923706055,324170
2011-06-09,BOVA11.SA,62.560001373291016,310680
2011-06-10,BOVA11.SA,61.81999969482422,301880
2011-06-13,BOVA11.SA,61.11000061035156,314430
2011-06-14,BOVA11.SA,61.20000076293945,263800
2011-06-15,BOVA11.SA,60.7599983215332,606000
2011-06-16,BOVA11.SA,60.09000015258789,908530
2011-06-17,BOVA11.SA,60.29999923706055,419900
2011-06-20,BOVA11.SA,60.400001525878906,564940
2011-06-21,BOVA11.SA,60.47999954223633,345880
2011-06-22,BOVA11.SA,60.31999969482422,396340
2011-06-24,BOVA11.SA,60.20000076293945,164670
2011-06-27,BOVA11.SA,60.41999816894531,257600
2011-06-28,BOVA11.SA,61.11000061035156,969100
2011-06-29,BOVA11.SA,61.59000015258789,455890
2011-06-30,BOVA11.SA,61.4900016784668,304320
2011-07-01,BOVA11.SA,63,365540
2011-07-04,BOVA11.SA,62.95000076293945,152740
2011-07-05,BOVA11.SA,62.18000030517578,233980
2011-07-06,BOVA11.SA,61.720001220703125,282330
2011-07-07,BOVA11.SA,61.40999984741211,394860
2011-07-08,BOVA11.SA,60.66999816894531,306940
2011-07-11,BOVA11.SA,59.529998779296875,433120
2011-07-12,BOVA11.SA,58.91999816894531,522010
2011-07-13,BOVA11.SA,59.83000183105469,322070
2011-07-14,BOVA11.SA,58.900001525878906,502960
2011-07-15,BOVA11.SA,58.720001220703125,451730
2011-07-18,BOVA11.SA,58.02000045776367,589520
2011-07-19,BOVA11.SA,58.189998626708984,357530
2011-07-20,BOVA11.SA,58.2599983215332,211250
2011-07-21,BOVA11.SA,59.5,766200
2011-07-22,BOVA11.SA,59.54999923706055,530210
2011-07-25,BOVA11.SA,59.15999984741211,529850
2011-07-26,BOVA11.SA,58.5099983215332,973000
2011-07-27,BOVA11.SA,57.459999084472656,690290
2011-07-28,BOVA11.SA,57.849998474121094,621350
2011-07-29,BOVA11.SA,58.18000030517578,407820
2011-08-01,BOVA11.SA,57.81999969482422,402070
2011-08-02,BOVA11.SA,56.599998474121094,640610
2011-08-03,BOVA11.SA,55.560001373291016,1177990
2011-08-04,BOVA11.SA,52.04999923706055,1405550
2011-08-05,BOVA11.SA,52.27000045776367,1361670
2011-08-08,BOVA11.SA,47.7599983215332,4094630
2011-08-09,BOVA11.SA,50.400001525878906,2506490
2011-08-10,BOVA11.SA,50.650001525878906,1353350
2011-08-11,BOVA11.SA,52.650001525878906,779820
2011-08-12,BOVA11.SA,52.79999923706055,589260
2011-08-15,BOVA11.SA,53.95000076293945,506420
2011-08-16,BOVA11.SA,53.529998779296875,699990
2011-08-17,BOVA11.SA,54.29999923706055,730840
2011-08-18,BOVA11.SA,52.40999984741211,1031400
2011-08-19,BOVA11.SA,51.79999923706055,592130
2011-08-22,BOVA11.SA,51.75,711390
2011-08-23,BOVA11.SA,53,1129340
2011-08-24,BOVA11.SA,52.970001220703125,1173240
2011-08-25,BOVA11.SA,52.150001525878906,822770
2011-08-26,BOVA11.SA,52.52000045776367,982840
2011-08-29,BOVA11.SA,54.099998474121094,787120
2011-08-30,BOVA11.SA,54.560001373291016,834050
2011-08-31,BOVA11.SA,55.75,1177960
2011-09-01,BOVA11.SA,57.27000045776367,1081260
2011-09-02,BOVA11.SA,55.650001525878906,768930
2011-09-05,BOVA11.SA,54.290000915527344,488720
2011-09-06,BOVA11.SA,55.88999938964844,1157120
2011-09-08,BOVA11.SA,56.900001525878906,1816690
2011-09-09,BOVA11.SA,55.099998474121094,1371680
2011-09-12,BOVA11.SA,55.29999923706055,863590
2011-09-13,BOVA11.SA,54.72999954223633,924550
2011-09-14,BOVA11.SA,55.5099983215332,1871880
2011-09-15,BOVA11.SA,55.650001525878906,710450
2011-09-16,BOVA11.SA,56.45000076293945,755530
2011-09-19,BOVA11.SA,56.380001068115234,1372910
2011-09-20,BOVA11.SA,55.599998474121094,1130300
2011-09-21,BOVA11.SA,55.02000045776367,1256550
2011-09-23,BOVA11.SA,52.650001525878906,1212360
2011-09-26,BOVA11.SA,53.029998779296875,730200
2011-09-27,BOVA11.SA,53.150001525878906,824010
2011-09-28,BOVA11.SA,52.540000915527344,868710
2011-09-29,BOVA11.SA,52.7599983215332,888680
2011-09-30,BOVA11.SA,51.599998474121094,1720220
2011-10-03,BOVA11.SA,50,1436710
2011-10-04,BOVA11.SA,50.099998474121094,1690070
2011-10-05,BOVA11.SA,50.099998474121094,973970
2011-10-06,BOVA11.SA,51.5,1306740
2011-10-07,BOVA11.SA,50.40999984741211,2411700
2011-10-10,BOVA11.SA,52.79999923706055,1028030
2011-10-11,BOVA11.SA,53.09000015258789,1426310
2011-10-13,BOVA11.SA,54,759100
2011-10-14,BOVA11.SA,54.400001525878906,1017730
2011-10-17,BOVA11.SA,53.119998931884766,658000
2011-10-18,BOVA11.SA,54.400001525878906,775510
2011-10-19,BOVA11.SA,54.279998779296875,1210700
2011-10-20,BOVA11.SA,53.16999816894531,1305940
2011-10-21,BOVA11.SA,54.599998474121094,848850
2011-10-24,BOVA11.SA,56,737120
2011-10-25,BOVA11.SA,55.349998474121094,2258280
2011-10-26,BOVA11.SA,56.4900016784668,900350
2011-10-27,BOVA11.SA,58.099998474121094,1646720
2011-10-28,BOVA11.SA,58.54999923706055,811480
2011-10-31,BOVA11.SA,57.56999969482422,1248280
2011-11-01,BOVA11.SA,56.47999954223633,1798480
2011-11-03,BOVA11.SA,57.29999923706055,921920
2011-11-04,BOVA11.SA,58,536500
2011-11-07,BOVA11.SA,58.400001525878906,904350
2011-11-08,BOVA11.SA,58.099998474121094,1351020
2011-11-09,BOVA11.SA,56.779998779296875,1122030
2011-11-10,BOVA11.SA,56.70000076293945,1551280
2011-11-11,BOVA11.SA,57.65999984741211,639150
2011-11-14,BOVA11.SA,57.400001525878906,853160
2011-11-16,BOVA11.SA,57.68000030517578,649710
2011-11-17,BOVA11.SA,56.150001525878906,2425470
2011-11-18,BOVA11.SA,56,878320
2011-11-21,BOVA11.SA,55.599998474121094,1751820
2011-11-22,BOVA11.SA,55.099998474121094,1700900
2011-11-23,BOVA11.SA,54.310001373291016,2313300
2011-11-24,BOVA11.SA,54.470001220703125,836890
2011-11-25,BOVA11.SA,54.25,680690
2011-11-28,BOVA11.SA,55.119998931884766,542740
2011-11-29,BOVA11.SA,54.650001525878906,857220
2011-11-30,BOVA11.SA,56.18000030517578,2079750
2011-12-01,BOVA11.SA,57.40999984741211,915090
2011-12-02,BOVA11.SA,57.029998779296875,857060
2011-12-05,BOVA11.SA,58.18000030517578,919280
2011-12-06,BOVA11.SA,58.72999954223633,731140
2011-12-07,BOVA11.SA,57.720001220703125,1015210
2011-12-08,BOVA11.SA,56.52000045776367,1056260
2011-12-09,BOVA11.SA,57.40999984741211,1998680
2011-12-12,BOVA11.SA,56.52000045776367,1542070
2011-12-13,BOVA11.SA,56.619998931884766,623940
2011-12-14,BOVA11.SA,55.75,940720
2011-12-15,BOVA11.SA,55.54999923706055,795740
2011-12-16,BOVA11.SA,55.45000076293945,639020
2011-12-19,BOVA11.SA,54.5,2242800
2011-12-20,BOVA11.SA,56.2599983215332,1563690
2011-12-21,BOVA11.SA,55.81999969482422,1157750
2011-12-22,BOVA11.SA,56.5,1142560
2011-12-23,BOVA11.SA,56.75,440340
2011-12-26,BOVA11.SA,56.900001525878906,118430
2011-12-27,BOVA11.SA,57.13999938964844,545720
2011-12-28,BOVA11.SA,55.650001525878906,778730
2011-12-29,BOVA11.SA,55.97999954223633,328610
2012-01-02,BOVA11.SA,57.029998779296875,536180
2012-01-03,BOVA11.SA,58.400001525878906,1044620
2012-01-04,BOVA11.SA,58.400001525878906,464890
2012-01-05,BOVA11.SA,57.61000061035156,656040
2012-01-06,BOVA11.SA,57.75,550360
2012-01-09,BOVA11.SA,58.25,534610
2012-01-10,BOVA11.SA,58.900001525878906,788110
2012-01-11,BOVA11.SA,59.20000076293945,545040
2012-01-12,BOVA11.SA,59.099998474121094,599750
2012-01-13,BOVA11.SA,58.20000076293945,873370
2012-01-16,BOVA11.SA,59.029998779296875,972740
2012-01-17,BOVA11.SA,59.75,2047300
2012-01-18,BOVA11.SA,60.79999923706055,1074950
2012-01-19,BOVA11.SA,60.93000030517578,1180680
2012-01-20,BOVA11.SA,61.400001525878906,1060870
2012-01-23,BOVA11.SA,61.52000045776367,1710310
2012-01-24,BOVA11.SA,61.599998474121094,1376310
2012-01-26,BOVA11.SA,62.04999923706055,1319920
2012-01-27,BOVA11.SA,62.029998779296875,1657640
2012-01-30,BOVA11.SA,61.86000061035156,1036040
2012-01-31,BOVA11.SA,62.16999816894531,1000900
2012-02-01,BOVA11.SA,63.52000045776367,1869650
2012-02-02,BOVA11.SA,63.59000015258789,807020
2012-02-03,BOVA11.SA,64.20999908447266,2269140
2012-02-06,BOVA11.SA,64.19000244140625,969410
2012-02-07,BOVA11.SA,64.94999694824219,2864310
2012-02-08,BOVA11.SA,64.779998779296875,1080610
2012-02-09,BOVA11.SA,64.5199966430664,1620560
2012-02-10,BOVA11.SA,63.04999923706055,2664090
2012-02-13,BOVA11.SA,64.66999816894531,1006310
2012-02-14,BOVA11.SA,64.01000213623047,1747690
2012-02-15,BOVA11.SA,64.37999725341797,1478330
2012-02-16,BOVA11.SA,65.01000213623047,3223010
2012-02-17,BOVA11.SA,65.12000274658203,1416710
2012-02-23,BOVA11.SA,64.86000061035156,1878270
2012-02-24,BOVA11.SA,64.88999938964844,1237980
2012-02-27,BOVA11.SA,64.25,1107600
2012-02-28,BOVA11.SA,65,1353010
2012-02-29,BOVA11.SA,64.73999786376953,2287360
2012-03-01,BOVA11.SA,65.73999786376953,2890510
2012-03-02,BOVA11.SA,66.75,1478900
2012-03-05,BOVA11.SA,65.94999694824219,1336360
2012-03-06,BOVA11.SA,64.0199966430664,1598640
2012-03-07,BOVA11.SA,65.11000061035156,1741260
2012-03-08,BOVA11.SA,65.87000274658203,1900290
2012-03-09,BOVA11.SA,65.63999938964844,1546610
2012-03-12,BOVA11.SA,65.38999938964844,1102010
2012-03-13,BOVA11.SA,67.30000305175781,1565070
2012-03-14,BOVA11.SA,67.0999984741211,1311710
2012-03-15,BOVA11.SA,66.62000274658203,1315420
2012-03-16,BOVA11.SA,66.62999725341797,1532110
